time,block4a,base,block4a_diff,base_diff,soil_moisture,soil_moisture_diff,infiltration,infiltration_diff,precipitation,temperature,frost,frost_days,ftc,ftc_days
2021-04-24,30.8538703937958,26.6008098480892,-2.10089582407927,2.56127109441923,44,0,0,0,0.4,-2.64999999999998,1,3,0,0
2021-04-25,29.2628040251296,28.673388435936,-1.5910663686662,2.07257858784681,44,0,0,0,0.2,-3.75,1,4,0,0
2021-04-26,28.5026950818959,29.7754966565722,-0.760108943233661,1.10210822063619,44,0,0,0,0,-3.44999999999999,1,5,0,0
2021-04-27,28.6533406525109,29.8008264471082,0.150645570614987,0.0253297905360021,44,0,0,0,0,-2.75,1,6,0,0
2021-04-28,29.7945378253906,28.6430697446545,1.14119717287974,-1.15775670245378,43,-1,0,0,0,-1.75,1,7,0,0
2021-04-29,32.0060836889512,26.1959184863213,2.2115458635606,-2.44715125833315,43,0,0,0,0,-1.34999999999997,1,8,0,0
2021-04-30,33.3374638287218,23.9981419121324,1.33138013977052,-2.19777657418895,43,0,0,0,0,-2.44999999999999,1,9,0,0
2021-05-01,29.7722270764188,25.9333693588252,-3.56523675230293,1.93522744669288,43,0,0,0,0.2,0.0500000000000114,0,10,0,0
2021-05-02,31.5627060025565,25.1815796255728,1.7904789261377,-0.751789733252394,43,0,0,0,0,-0.149999999999977,1,11,1,1
2021-05-03,30.548561724079,25.9408110767994,-1.01414427847753,0.759231451226516,43,0,0,0,1.4,0.75,0,0,1,2
2021-05-04,32.968165761784,25.9310976751604,2.41960403770497,-0.00971340163896883,43,0,0,0,0.5,-1.94999999999999,1,1,1,3
2021-05-05,31.9520150162184,25.7261137193998,-1.01615074556554,-0.204983955760618,43,0,0,0,0,0.75,0,0,1,4
2021-05-06,33.2124510537246,26.4894236701113,1.26043603750615,0.76330995071157,43,0,0,0,0,-0.349999999999966,1,1,1,5
2021-05-07,32.7184661273635,24.8846843161603,-0.493984926361122,-1.60473935395102,43,0,0,0,0.3,-0.0499999999999545,1,2,1,6
2021-05-08,31.5757887231858,26.6197403199367,-1.14267740417768,1.73505600377642,43,0,0,0,0,0.150000000000034,0,0,1,7
2021-05-09,31.8688921134788,25.0646135158625,0.293103390293062,-1.55512680407426,43,0,0,0,0,1.45000000000005,0,0,0,0
2021-05-10,32.1333253752364,23.286170317381,0.264433261757567,-1.77844319848144,46,3,5,5,1.8,3.15000000000003,0,0,0,0
2021-05-11,31.9676473104202,22.550465352236,-0.165678064816213,-0.735704965145036,52,6,17,12,2.8,5.65000000000003,0,0,0,0
2021-05-12,31.4824451206199,22.6549719575448,-0.485202189800283,0.104506605308828,55,3,12,-5,0,6.25,0,0,0,0
2021-05-13,30.7883060074253,23.397163470425,-0.694139113194645,0.742191512880172,56,1,10,-2,0.2,5.85000000000002,0,0,0,0
2021-05-14,29.995817172426,24.574513227994,-0.7924888349993,1.17734975756898,60,4,18,8,0.3,8.85000000000002,0,0,0,0
2021-05-15,29.2155658172117,25.9844945673692,-0.780251355214244,1.40998133937525,64,4,21,3,0,9.25,0,0,0,0
2021-05-16,28.5581391433722,27.4245808256682,-0.657426673839481,1.44008625829899,65,1,15,-6,0.4,6.65000000000003,0,0,0,0
2021-05-17,28.1341243524972,28.6922453400084,-0.424014790875013,1.2676645143402,65,0,13,-2,1,4.75,0,0,0,0
2021-05-18,28.0541086461764,29.5849614475073,-0.0800157063208395,0.892716107498874,65,0,10,-3,0,5.95000000000005,0,0,0,0
2021-05-19,28.4286792259994,29.9002024852823,0.374570579823047,0.315241037775007,63,-2,5,-5,0,3.05000000000001,0,0,0,0
2021-05-20,29.3684232935561,29.4354417904509,0.939744067556632,-0.464760694831391,62,-1,8,3,0.4,4.35000000000002,0,0,0,0
2021-05-21,30.983928050436,27.9881527001306,1.61550475687994,-1.44728909032032,61,-1,7,-1,0,3.55000000000001,0,0,0,0
2021-05-22,32.558017796555,26.4261886099841,1.57408974611901,-1.5619640901465,63,2,14,7,0.5,6.05000000000001,0,0,0,0
2021-05-23,31.9986110606568,27.1472546365206,-0.559406735898254,0.72106602653653,64,1,15,1,0.2,6.15000000000003,0,0,0,0
2021-05-24,32.2249121518466,26.3828227380124,0.226301091189793,-0.76443189850826,66,2,16,1,0.3,7.05000000000001,0,0,0,0
2021-05-25,32.1065079066461,28.4140303227469,-0.118404245200509,2.03120758473453,67,1,15,-1,0.1,6.35000000000002,0,0,0,0
2021-05-26,32.8743648962578,27.7232552635898,0.767856989611772,-0.690775059157115,67,0,13,-2,0,6.25,0,0,0,0
2021-05-27,31.9185528297848,27.1399011841893,-0.955812066473005,-0.58335407940049,68,1,18,5,0,7.35000000000002,0,0,0,0
2021-05-28,34.0684762307144,27.3121540681487,2.14992340092961,0.172252883959398,69,1,16,-2,0,8.25,0,0,0,0
2021-05-29,32.8182357923382,28.1592434971855,-1.25024043837625,0.847089429036853,70,1,18,2,0,11.05,0,0,0,0
2021-05-30,32.3081709690841,27.6599693073989,-0.510064823254055,-0.499274189786668,74,4,27,9,0.3,13.15,0,0,0,0
2021-05-31,32.6189096945081,29.129603692017,0.310738725423974,1.46963438461812,76,2,26,-1,0,14.05,0,0,0,0
2021-06-01,32.1918015793242,28.6643040262078,-0.42710811518392,-0.465299665809191,78,2,26,0,0,14.55,0,0,0,0
2021-06-02,35.688644259479,30.1992050892141,3.49684268015479,1.53490106300632,78,0,23,-3,0,15.85,0,0,0,0
2021-06-03,33.3211609087203,29.4620656536002,-2.36748335075865,-0.737139435613951,78,0,21,-2,0,13.05,0,0,0,0
2021-06-04,31.1163999215498,31.3066345886987,-2.20476098717053,1.8445689350985,78,0,21,0,0,13.05,0,0,0,0
2021-06-05,33.3520843648632,31.0862006853339,2.23568444331345,-0.22043390336481,77,-1,18,-3,0.6,12.35,0,0,0,0
2021-06-06,34.3337860352704,30.9759840919022,0.981701670407169,-0.110216593431691,74,-3,14,-4,0,13.65,0,0,0,0
2021-06-07,34.5143168282939,31.6657092703684,0.180530793023522,0.68972517846623,71,-3,10,-4,0.1,11.05,0,0,0,0
2021-06-08,34.3168972261774,31.86000485411,-0.197419602116561,0.194295583741599,69,-2,12,2,0,12.85,0,0,0,0
2021-06-09,33.3106697581945,31.7560421222687,-1.00622746798289,-0.103962731841275,68,-1,11,-1,0,12.25,0,0,0,0
2021-06-10,36.6048071414908,32.6406954686149,3.2941373832963,0.884653346346148,67,-1,14,3,1.9,11.85,0,0,0,0
2021-06-11,38.2888225260788,36.3820028681369,1.68401538458806,3.74130739952204,67,0,12,-2,0.6,11.25,0,0,0,0
2021-06-12,38.3102168494412,35.915050637062,0.0213943233624008,-0.46695223107487,69,2,20,8,5,8.65000000000003,0,0,0,0
2021-06-13,37.7746757619422,33.9686384236604,-0.535541087498984,-1.94641221340164,65,-4,4,-16,0.4,4.75,0,0,0,0
2021-06-14,37.4861465205711,34.888726673554,-0.288529241371165,0.920088249893638,69,4,24,20,15.9,6.65000000000003,0,0,0,0
2021-06-15,38.4462128112744,36.3958597768717,0.960066290703296,1.50713310331766,71,2,21,-3,13.9,5.25,0,0,0,0
2021-06-16,40.3295428243888,36.1861234843896,1.88333001311446,-0.209736292482127,67,-4,3,-18,0.6,5.65000000000003,0,0,0,0
2021-06-17,39.3887207756016,37.1576486017228,-0.940822048787183,0.971525117333286,65,-2,8,5,3.6,9.25,0,0,0,0
2021-06-18,38.8328640247402,38.5383155360309,-0.555856750861423,1.38066693430804,65,0,13,5,6.5,10.85,0,0,0,0
2021-06-19,41.1144830141493,39.2560135909733,2.2816189894091,0.717698054942417,65,0,10,-3,0,8.65000000000003,0,0,0,0
2021-06-20,40.7523027200058,40.9517199417994,-0.362180294143542,1.69570635082611,65,0,14,4,10.6,7.75,0,0,0,0
2021-06-21,41.379445228891,41.6211738419311,0.627142508885171,0.669453900131657,71,6,29,15,12,9.55000000000001,0,0,0,0
2021-06-22,43.0634072246425,41.4133838093222,1.68396199575159,-0.207790032608891,67,-4,3,-26,0,7.85000000000002,0,0,0,0
2021-06-23,44.1239040527242,41.3629490499066,1.06049682808167,-0.0504347594156016,63,-4,2,-1,0.2,11.05,0,0,0,0
2021-06-24,43.9154897597697,42.1158405573871,-0.208414292954558,0.752891507480499,60,-3,2,0,0.2,11.65,0,0,0,0
2021-06-25,44.9419017710417,42.9670635827888,1.02641201127202,0.85122302540168,58,-2,3,1,0.1,12.35,0,0,0,0
2021-06-26,46.7810305087698,43.6371835898914,1.83912873772811,0.670120007102646,57,-1,5,2,1,13.45,0,0,0,0
2021-06-27,48.0205949691328,44.0503131487213,1.23956446036297,0.413129558829887,56,-1,3,-2,0,13.15,0,0,0,0
