date,CLP1,CLP5,CLP6,RiverLevel,RiverTemp,RiverCond,AirTemp,Precipitation,NDD,NDD_cum,FTC,FTC_cum,CLP1_diff,CLP5_diff,CLP6_diff
2024-06-28,3.39033413700191,1.06975546982863,4.73889114962562,0.152479166666667,13.0322916666667,1.13770833333333,20.75,0.0,0,0,0,0,0.007917064440639887,-0.0022977657876299684,0.019784447028190044
2024-06-29,3.41260435868472,1.08130576775367,4.739261451028,0.153125,12.5675,1.14145833333333,16.98,1.2,0,0,0,0,0.02227022168281012,0.01155029792503992,0.00037030140237970244
2024-06-30,3.46785871924171,1.08313027467443,4.76296124029999,0.151833333333333,12.3014583333333,1.1375,17.99,0.0,0,0,0,0,0.055254360556989734,0.0018245069207600828,0.023699789271990568
2024-07-01,3.46739369685012,1.10732613025924,4.82055946189859,0.151125,12.4435416666667,1.14333333333333,17.21,0.0,0,0,0,0,-0.0004650223915896312,0.024195855584810078,0.05759822159859951
2024-07-02,3.49050145613207,1.12095172156424,4.82419936201853,0.149479166666667,12.1654166666667,1.1425,16.95,0.0,0,0,0,0,0.023107759281949747,0.013625591304999851,0.003639900119940087
2024-07-03,3.52831425613685,1.14211600973284,4.89085428874139,0.149354166666667,11.8852083333333,1.14604166666667,14.48,0.0,0,0,0,0,0.037812800004779934,0.021164288168600054,0.06665492672286
2024-07-04,3.54069485040491,1.14134873596573,4.9019158698411,0.146791666666667,11.7625,1.14270833333333,16.4,0.0,0,0,0,0,0.01238059426805993,-0.0007672737671100549,0.011061581099710338
2024-07-05,3.55903719854806,1.1408062104751,4.90670922307406,0.145,12.4910416666667,1.15104166666667,17.92,0.0,0,0,0,0,0.01834234814315039,-0.0005425254906299415,0.004793353232959596
2024-07-06,3.61135602869721,1.18884773900482,4.91599359977208,0.146041666666667,12.4675,1.15875,15.44,5.0,0,0,0,0,0.05231883014914995,0.04804152852971999,0.009284376698020402
2024-07-07,3.61427246044997,1.19542010212731,4.96686543434589,0.144729166666667,12.4075,1.15229166666667,17.27,0.0,0,0,0,0,0.002916431752759685,0.006572363122490099,0.05087183457380995
2024-07-08,3.62482579018426,1.17538309036693,4.9855514221097,0.144395833333333,12.57625,1.15583333333333,17.91,0.0,0,0,0,0,0.010553329734290351,-0.020037011760380086,0.01868598776380992
2024-07-09,3.64470846969053,1.17618010132069,4.98942873163852,0.144333333333333,12.7685416666667,1.161875,18.78,0.0,0,0,0,0,0.019882679506269874,0.0007970109537600578,0.0038773095288195947
2024-07-10,3.67962725038492,1.20258779957585,5.0249932759557,0.143145833333333,12.8633333333333,1.16458333333333,19.94,0.0,0,0,0,0,0.034918780694389806,0.026407698255159984,0.03556454431718059
2024-07-11,3.71737679286082,1.2045626154408,5.02530017303444,0.142041666666667,13.419375,1.17291666666667,22.05,0.0,0,0,0,0,0.03774954247590001,0.0019748158649499636,0.00030689707873943206
